REF_DATE;NUTS1;NUTS2;NUTS3;T;T_MAX;T_MIN;MEAN_T_MAX;MEAN_T_MIN;NUM_FROST;NUM_ICE;NUM_SUMMER;NUM_HEAT;P;P_MAX;P_MIN;SUN_H;NUM_CLEAR;NUM_CLOUD;REL_HUM;REL_HUM_MAX;REL_HUM_MIN;WIND_VEL;NUM_WIND_VEL60;WIND_VEL_MAX;PRECP_SUM;NUM_PRECP_01;STAT_NUM
195501;AT1;AT13;AT130;-1,6;8;-9,6;0,4;-3,6;26;14;0;0;990,4;1004,3;963,1;45;2;20;83;99;35;11,9;6;110;24;16;5901
195502;AT1;AT13;AT130;0;9,7;-8,4;2,9;-2,8;20;7;0;0;982,1;1000,7;964;57;1;17;75;100;43;11,5;10;96;37;16;5901
195503;AT1;AT13;AT130;2,4;22,2;-11,2;6,4;-1,2;21;3;0;0;991;1007,7;975,9;100;1;13;71;98;37;13,3;5;78;47;16;5901
195504;AT1;AT13;AT130;8,2;27,3;-1,5;13,1;3,6;4;0;1;0;994,4;1004,3;983,3;191;4;11;62;98;24;15,5;9;76;87;15;5901
195505;AT1;AT13;AT130;13,7;28,2;3;19,1;8,1;0;0;3;0;992,3;1003,7;978,9;240;1;9;61;91;29;14,8;10;104;43;14;5901
195506;AT1;AT13;AT130;17;28,2;7,1;21,8;12,8;0;0;4;0;991,9;1000;977,3;220;2;12;68;98;38;13,3;2;80;43;9;5901
195507;AT1;AT13;AT130;19,7;31,2;11,8;24,5;15,6;0;0;16;1;990,1;996,9;983,1;229;1;8;70;95;35;13;5;85;64;13;5901
195508;AT1;AT13;AT130;18,2;27,2;11,2;23,1;14,5;0;0;7;0;992,7;1001,5;984,8;195;1;7;77;94;36;12,2;2;87;138;16;5901
195509;AT1;AT13;AT130;15,3;27,6;6,2;20,5;11,2;0;0;6;0;993,7;1004,3;975,3;222;9;4;76;99;42;8,6;1;63;46;10;5901
195510;AT1;AT13;AT130;9,9;19;-2,8;13,7;6,8;2;0;0;0;992,2;1003,7;980,9;119;2;11;81;100;50;11,5;1;64;41;14;5901
195511;AT1;AT13;AT130;4,8;11;-4,4;6,4;3,1;4;0;0;0;996,2;1006,4;979,6;44;0;22;79;100;38;20,2;9;104;23;15;5901
195512;AT1;AT13;AT130;3,8;12,5;-4;6,4;1;11;1;0;0;989;1005,7;966,5;48;0;16;76;100;30;15,1;12;93;33;15;5901
195601;AT1;AT13;AT130;0,8;12,7;-16,3;4,1;-1,9;21;6;0;0;991,7;1009,5;976,5;110;3;11;75;98;36;13,3;6;80;20;9;5901
195602;AT1;AT13;AT130;-8,3;6,7;-22,6;-5,2;-11,7;28;26;0;0;992,6;1010,9;975,2;72;4;15;71;92;41;13,3;2;96;31;17;5901
195603;AT1;AT13;AT130;2,4;17,5;-6,7;5,8;-0,8;16;3;0;0;993,7;1005,2;978,7;130;3;17;71;97;20;20,9;12;124;54;14;5901
195604;AT1;AT13;AT130;9,3;24,3;-2,2;14,2;5;3;0;0;0;985,8;999,2;974,7;157;0;12;64;97;23;14,4;6;71;84;18;5901
195605;AT1;AT13;AT130;14,7;26,5;5;19,6;9,7;0;0;2;0;995,2;1006,3;986,1;261;7;5;64;92;28;14,4;4;71;37;9;5901
195606;AT1;AT13;AT130;16,6;27,6;5,7;21,1;12,4;0;0;5;0;991,8;998;985,9;201;2;11;70;95;42;17,6;6;84;96;16;5901
195607;AT1;AT13;AT130;20,3;30,5;12,4;25,6;15,3;0;0;20;1;990,8;1000;980,1;291;3;3;63;91;31;15,8;6;84;45;9;5901
195608;AT1;AT13;AT130;18,7;30,2;9;23,9;14,1;0;0;12;1;989,4;1004,1;976;232;3;8;68;99;35;11,9;8;98;54;15;5901
195609;AT1;AT13;AT130;16,6;31,6;4,3;22,4;11,4;0;0;7;1;994,8;1005,7;986,7;261;10;3;63;92;32;14;8;81;5;7;5901
195610;AT1;AT13;AT130;9,7;27,8;-0,5;14,2;6,4;1;0;1;0;995,9;1007,5;976,9;158;5;7;78;99;37;12,6;7;100;119;10;5901
195611;AT1;AT13;AT130;2,3;11;-8,8;4,5;0,1;14;4;0;0;994,9;1009,9;970,4;45;1;21;76;98;47;16,9;6;112;35;18;5901
195612;AT1;AT13;AT130;1,2;9,7;-9,3;2,9;-0,7;17;7;0;0;998,7;1008;990,3;19;0;21;82;100;56;16,9;7;116;41;20;5901
195701;AT1;AT13;AT130;-0,9;11,7;-13,7;1,5;-3,4;21;11;0;0;999;1009,6;982;52;3;19;79;98;46;11,9;6;86;39;16;5901
